07-17 05:40:36.453  1410  1410 E ActivityManager: ANR in com.qiku.android.xtime (com.qiku.android.xtime/qiku.xtime.ui.showring.ShowRingActivity)
07-17 05:40:36.453  1410  1410 E ActivityManager: PID: 16231
07-17 05:40:36.453  1410  1410 E ActivityManager: Reason: Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 2.  Wait queue head age: 6007.6ms.)
07-17 05:40:36.453  1410  1410 E ActivityManager: Load: 5.09 / 5.78 / 5.95
07-17 05:40:36.453  1410  1410 E ActivityManager: CPU usage from 0ms to 5904ms later (2017-07-17 05:40:30.499 to 2017-07-17 05:40:36.403):
07-17 05:40:36.453  1410  1410 E ActivityManager:   40% 1410/system_server: 26% user + 14% kernel / faults: 1562 minor 101 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   19% 483/surfaceflinger: 13% user + 5.9% kernel / faults: 272 minor 1 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   16% 27269/kworker/u16:9: 0% user + 16% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   8.6% 16993/com.qihoo.appstore: 5.7% user + 2.8% kernel / faults: 2946 minor 1 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   4.7% 16231/com.qiku.android.xtime: 3% user + 1.6% kernel / faults: 1014 minor 83 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   4% 16596/cn.kuwo.player: 2.8% user + 1.1% kernel / faults: 1038 minor 2 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   4% 19325/com.qihoo360.mobilesafe:GuardService: 2.3% user + 1.6% kernel / faults: 54 minor
07-17 05:40:36.453  1410  1410 E ActivityManager:   3.8% 2041/com.android.systemui: 2.8% user + 1% kernel / faults: 1051 minor 9 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   3.5% 175/kswapd0: 0% user + 3.5% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   1.7% 2215/com.android.phone: 1.4% user + 0.3% kernel / faults: 1169 minor 28 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   3.3% 21830/kworker/u16:3: 0% user + 3.3% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   0.1% 2635/com.cloudsx.android.coreservice: 0.1% user + 0% kernel / faults: 1525 minor 21 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   2.2% 19885/com.qiku.logsystem: 1.5% user + 0.6% kernel / faults: 1023 minor 8 major
07-17 05:40:36.453  1410  1410 E ActivityManager:   2% 323/mmc-cmdqd/0: 0% user + 2% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   2% 394/logd: 1.1% user + 0.8% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   1.8% 10817/kworker/u16:2: 0% user + 1.8% kernel
07-17 05:40:36.453  1410  1410 E ActivityManager:   1.8% 12307/mdss_fb0: 0% user + 1.8% kernel
