07-17 07:57:06.705 19456 19456 W daemon-handler-: type=1400 audit(0.0:122102): avc: denied { read } for name="mem" dev="debugfs" ino=6417669 scontext=u:r:priv_app:s0:c512,c768 tcontext=u:object_r:debugfs:s0 tclass=file permissive=0
07-17 07:57:07.994  1410  1410 E ActivityManager: ANR in com.tencent.mm (com.tencent.mm/.ui.account.SimpleLoginUI)
07-17 07:57:07.994  1410  1410 E ActivityManager: PID: 15991
07-17 07:57:07.994  1410  1410 E ActivityManager: Reason: Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)
07-17 07:57:07.994  1410  1410 E ActivityManager: Load: 7.07 / 7.08 / 6.62
07-17 07:57:07.994  1410  1410 E ActivityManager: CPU usage from 0ms to 6618ms later (2017-07-17 07:57:01.332 to 2017-07-17 07:57:07.950):
07-17 07:57:07.994  1410  1410 E ActivityManager:   53% 1410/system_server: 36% user + 16% kernel / faults: 12868 minor 71 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   9.6% 19885/com.qiku.logsystem: 7.8% user + 1.8% kernel / faults: 1552 minor 6 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   5.4% 483/surfaceflinger: 2.7% user + 2.7% kernel / faults: 35 minor 1 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   4.9% 15072/com.qihoo360.feichuan: 3.1% user + 1.8% kernel / faults: 1264 minor
07-17 07:57:07.994  1410  1410 E ActivityManager:   4.6% 19325/com.qihoo360.mobilesafe:GuardService: 3.3% user + 1.3% kernel / faults: 49 minor
07-17 07:57:07.994  1410  1410 E ActivityManager:   4.5% 14204/com.qiku.android.show: 2.8% user + 1.6% kernel / faults: 1239 minor 3 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   4.2% 11316/cn.kuwo.player: 3.6% user + 0.6% kernel / faults: 1263 minor 9 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   3.6% 2041/com.android.systemui: 2.7% user + 0.9% kernel / faults: 960 minor 3 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   3.6% 2215/com.android.phone: 2.8% user + 0.7% kernel / faults: 1093 minor 17 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   3.4% 2635/com.cloudsx.android.coreservice: 2.4% user + 1% kernel / faults: 957 minor 83 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.6% 323/mmc-cmdqd/0: 0% user + 1.6% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.6% 2289/.dataservices: 1.3% user + 0.3% kernel / faults: 1157 minor 9 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.3% 175/kswapd0: 0% user + 1.3% kernel
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.2% 2580/com.qiku.multitask: 0.9% user + 0.3% kernel / faults: 1049 minor 1 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.2% 2607/com.qiku.android.safe: 0.6% user + 0.6% kernel / faults: 1096 minor 1 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.2% 2620/com.qihoo360.android.location: 0.6% user + 0.6% kernel / faults: 1095 minor 2 major
07-17 07:57:07.994  1410  1410 E ActivityManager:   1.2% 2648/com.qiku.configcenter: 0.9% user + 0.3% kernel / faults: 1099 minor
07-17 07:57:07.994  1410  1410 E ActivityManager:   0% 383/debuggerd64: 0% user + 0% kernel / faults: 141 minor 1 major
